Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,tissue
SRR12706068,AMPLICON,502,20859606,PRJNA665482,SAMN16254963,Model organism or animal,14432267,UNIVERSIDADE ESTADUAL PAULISTA,2015-06-10,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",Adult,SRX9185407,Brazil,South America,"Brazil: Sergipe\, Areia Branca",Illumina MiSeq,SLFT5195,2017TUCF_run4_SLFT5195,PAIRED,PCR,METAGENOMIC,Dendropsophus haddadi,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:49:00Z,1,SLFT5195,not collected,SRP285287,skin swab
SRR12706076,AMPLICON,502,25494572,PRJNA665482,SAMN16254955,Model organism or animal,17533844,UNIVERSIDADE ESTADUAL PAULISTA,2015-06-10,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",Adult,SRX9185399,Brazil,South America,"Brazil: Sergipe\, Areia Branca",Illumina MiSeq,SLFT5184,2017TUCF_run4_SLFT5184,PAIRED,PCR,METAGENOMIC,Dendropsophus haddadi,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:49:00Z,1,SLFT5184,not collected,SRP285287,skin swab
SRR12706078,AMPLICON,502,35702240,PRJNA665482,SAMN16254954,Model organism or animal,24659103,UNIVERSIDADE ESTADUAL PAULISTA,2015-06-10,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",Adult,SRX9185397,Brazil,South America,"Brazil: Sergipe\, Areia Branca",Illumina MiSeq,SLFT5183,2017TUCF_run4_SLFT5183,PAIRED,PCR,METAGENOMIC,Dendropsophus haddadi,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:49:00Z,1,SLFT5183,not collected,SRP285287,skin swab
SRR12706084,AMPLICON,502,39970746,PRJNA665482,SAMN16254948,Model organism or animal,28012997,UNIVERSIDADE ESTADUAL PAULISTA,2015-06-10,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,SRX9185391,Brazil,South America,"Brazil: Sergipe\, Areia Branca",Illumina MiSeq,SLFT5173,2017TUCF_run4_SLFT5173,PAIRED,PCR,METAGENOMIC,Dendropsophus haddadi,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:50:00Z,1,SLFT5173,not collected,SRP285287,skin swab
SRR12706541,AMPLICON,502,29172224,PRJNA665482,SAMN16254972,Model organism or animal,19989225,UNIVERSIDADE ESTADUAL PAULISTA,2015-06-10,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",Adult,SRX9185417,Brazil,South America,"Brazil: Sergipe\, Areia Branca",Illumina MiSeq,SLFT5208,2017TUCF_run4_SLFT5208,PAIRED,PCR,METAGENOMIC,Dendropsophus haddadi,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:53:00Z,1,SLFT5208,not collected,SRP285287,skin swab
SRR12706543,AMPLICON,502,19454006,PRJNA665482,SAMN16254970,Model organism or animal,13537651,UNIVERSIDADE ESTADUAL PAULISTA,2015-06-10,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",Adult,SRX9185415,Brazil,South America,"Brazil: Sergipe\, Areia Branca",Illumina MiSeq,SLFT5204,2017TUCF_run4_SLFT5204,PAIRED,PCR,METAGENOMIC,Dendropsophus haddadi,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:54:00Z,1,SLFT5204,not collected,SRP285287,skin swab
SRR12706545,AMPLICON,502,24721994,PRJNA665482,SAMN16254968,Model organism or animal,17103267,UNIVERSIDADE ESTADUAL PAULISTA,2015-06-10,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",Adult,SRX9185413,Brazil,South America,"Brazil: Sergipe\, Areia Branca",Illumina MiSeq,SLFT5202,2017TUCF_run4_SLFT5202,PAIRED,PCR,METAGENOMIC,Dendropsophus haddadi,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:54:00Z,1,SLFT5202,not collected,SRP285287,skin swab
SRR12706553,AMPLICON,502,26361024,PRJNA665482,SAMN16254658,Model organism or animal,15897583,UNIVERSIDADE ESTADUAL PAULISTA,2014-01-08,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",Adult,SRX9185888,Brazil,South America,"Brazil: Bahia\, Camacan",Illumina MiSeq,SLFT1984,2017TUCF_run2_SLFT1984,PAIRED,PCR,METAGENOMIC,Dendropsophus haddadi,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:54:00Z,1,SLFT1984,not collected,SRP285287,skin swab
SRR12706567,AMPLICON,502,37091274,PRJNA665482,SAMN16254645,Model organism or animal,21405461,UNIVERSIDADE ESTADUAL PAULISTA,2014-01-08,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Adult,SRX9185874,Brazil,South America,"Brazil: Bahia\, Camacan",Illumina MiSeq,SLFT1971,2017TUCF_run2_SLFT1971,PAIRED,PCR,METAGENOMIC,Dendropsophus haddadi,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:54:00Z,1,SLFT1971,not collected,SRP285287,skin swab
SRR12706069,AMPLICON,502,38381916,PRJNA665482,SAMN16254962,Model organism or animal,26609010,UNIVERSIDADE ESTADUAL PAULISTA,2015-06-10,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,SRX9185406,Brazil,South America,"Brazil: Sergipe\, Areia Branca",Illumina MiSeq,SLFT5193,2017TUCF_run4_SLFT5193,PAIRED,PCR,METAGENOMIC,Dendropsophus haddadi,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:49:00Z,1,SLFT5193,not collected,SRP285287,skin swab
